a war	Cx=219340038	Bx=801301707
war lots	Cy=169569	By=871040
loud war	Cx=229641	Bx=807718
louder war	Cx=48740	Bx=191287
loudest war	Cx=11568	Bx=34824
war loudly	Cy=81224	By=274755
louis war	Cx=787877	Bx=2676214
war louis	Cy=787877	By=2676214
louisiana war	Cx=240682	Bx=780676
war louisiana	Cy=240682	By=780676
lousy war	Cx=19693	Bx=91046
love war	Cx=2946932	Bx=10678679
war love	Cy=2946932	By=10678679
loved war	Cx=435349	Bx=1844096
war loved	Cy=435349	By=1844096
lovely war	Cx=225364	Bx=698065
war lover	Cy=213562	By=782714
war lovers	Cy=149824	By=556664
loves war	Cx=175177	Bx=606604
war loves	Cy=175177	By=606604
loving war	Cx=199048	Bx=889421
war loving	Cy=199048	By=889421
low war	Cx=2442056	Bx=11077596
war low	Cy=2442056	By=11077596
war lowell	Cy=77616	By=299287
lower war	Cx=2122871	Bx=7969693
war lower	Cy=2122871	By=7969693
war lowered	Cy=161041	By=604475
lowering war	Cx=98020	Bx=389748
war lowering	Cy=98020	By=389748
war lowers	Cy=27615	By=135485
lowintensity war	Cx=167	Bx=1672
lowland war	Cx=28003	Bx=81351
loyal war	Cx=184540	Bx=488068
war loyally	Cy=14755	By=28207
war loyalties	Cy=51957	By=143258
war loyalty	Cy=273806	By=746629
war lp	Cy=38223	By=284214
lraq war	Cx=90	Bx=4014
war ls	Cy=56434	By=348102
lsraeli war	Cx=479	Bx=4702
war lt	Cy=148598	By=1081330
ltalian war	Cx=1571	Bx=25905
lu war	Cx=74296	Bx=318726
luckless war	Cx=8109	Bx=14966
lucky war	Cx=132489	Bx=615684
lucrative war	Cx=29928	Bx=128038
war ludendorff	Cy=14155	By=24973
ludicrous war	Cx=35974	Bx=92432
luft war	Cx=5133	Bx=24295
luftwaffe war	Cx=22916	Bx=69207
war luke	Cy=112918	By=611416
lukewarm war	Cx=16777	Bx=51200
lurid war	Cx=16948	Bx=48080
war lurked	Cy=9831	By=29396
lurking war	Cx=22855	Bx=81750
war lurking	Cy=22855	By=81750
war lurks	Cy=9333	By=31830
lush war	Cx=22181	Bx=107137
lusitanian war	Cx=936	Bx=2003
lust war	Cx=84435	Bx=275261
war lust	Cy=84435	By=275261
lusts war	Cx=11601	Bx=26799
lusty war	Cx=18766	Bx=39762
lute war	Cx=27448	Bx=77131
lutionary war	Cx=557	Bx=1320
war luxury	Cy=129270	By=404457
ly war	Cx=57059	Bx=217611
lydian war	Cx=5790	Bx=10947
lying war	Cx=449308	Bx=1424495
war lying	Cy=449308	By=1424495
war lyric	Cy=78374	By=255269
war lyrics	Cy=54908	By=269677
m war	Cx=5281791	Bx=27234049
war m	Cy=5281791	By=27234049
ma war	Cx=397791	Bx=2591557
war ma	Cy=397791	By=2591557
war macarthur	Cy=54101	By=174294
maccabaean war	Cx=706	Bx=1119
maccabean war	Cx=3929	Bx=10401
war mace	Cy=20653	By=79161
macedonian war	Cx=21259	Bx=53489
war macedonian	Cy=21259	By=53489
machine war	Cx=1050105	Bx=3407495
war machine	Cy=1050105	By=3407495
war machinery	Cy=398211	By=965129
war machines	Cy=448608	By=1396286
macho war	Cx=2153	Bx=73879
mad war	Cx=244966	Bx=852003
war mad	Cy=244966	By=852003
war madame	Cy=187798	By=469563
madawaska war	Cx=457	Bx=1701
war maddened	Cy=7652	By=18276
maddening war	Cx=8477	Bx=30180
made war	Cx=11234986	Bx=31605450
war made	Cy=11234986	By=31605450
war madison	Cy=202190	By=893652
war madness	Cy=95617	By=378984
madonna war	Cx=36667	Bx=117210
mafia war	Cx=11707	Bx=95192
magazine war	Cx=472253	Bx=2000116
war magazine	Cy=472253	By=2000116
war magazines	Cy=184271	By=753680
magic war	Cx=294672	Bx=1143910
war magic	Cy=294672	By=1143910
magical war	Cx=83864	Bx=364656
magnificent war	Cx=193588	Bx=460836
war magnified	Cy=33934	By=112128
war magnitude	Cy=415199	By=1198007
magyar war	Cx=15329	Bx=39803
mahabharata war	Cx=4042	Bx=20605
mahratta war	Cx=932	Bx=1939
mai war	Cx=43536	Bx=172720
war maiden	Cy=90733	By=297368
war maidens	Cy=34386	By=75084
war mail	Cy=264126	By=1830162
maimed war	Cx=13869	Bx=40216
war maimed	Cy=13869	By=40216
main war	Cx=1706365	Bx=6304140
war maine	Cy=157157	By=588452
mainly war	Cx=580157	Bx=1918710
war mainly	Cy=580157	By=1918710
maintain war	Cx=763210	Bx=3280521
war maintain	Cy=763210	By=3280521
maintained war	Cx=645973	Bx=2121046
war maintained	Cy=645973	By=2121046
maintaining war	Cx=277209	Bx=1299111
maintains war	Cx=132870	Bx=617056
war maintains	Cy=132870	By=617056
war maj	Cy=46990	By=150976
majestic war	Cx=48163	Bx=120128
major war	Cx=2373166	Bx=12300508
war major	Cy=2373166	By=12300508
war majority	Cy=1061595	By=3422590
make war	Cx=6956274	Bx=24727602
war make	Cy=6956274	By=24727602
war maker	Cy=145922	By=504463
war makers	Cy=146079	By=679291
makes war	Cx=1805010	Bx=6611427
war makes	Cy=1805010	By=6611427
makeshift war	Cx=17168	Bx=70398
makest war	Cx=2329	Bx=3282
maketh war	Cx=16495	Bx=21046
war makin	Cy=6976	By=30006
making war	Cx=2631735	Bx=10318375
war making	Cy=2631735	By=10318375
mako war	Cx=1037	Bx=8124
war mal	Cy=50305	By=175461
war malaise	Cy=20567	By=130588
malay war	Cx=42176	Bx=113880
war malaya	Cy=61922	By=76257
malayan war	Cx=19950	Bx=25967
male war	Cx=678138	Bx=4886694
war male	Cy=678138	By=4886694
malignant war	Cx=136013	Bx=815845
malvinas war	Cx=246	Bx=11383
mammoth war	Cx=27359	Bx=98081
man war	Cx=9947784	Bx=25006099
war man	Cy=9947784	By=25006099
manage war	Cx=177359	Bx=1084367
managed war	Cx=360351	Bx=1763448
war managed	Cy=360351	By=1763448
management war	Cx=1171598	Bx=8909252
war management	Cy=1171598	By=8909252
war manager	Cy=435896	By=2392212
war managers	Cy=225402	By=1753766
managing war	Cx=91211	Bx=823481
manchu war	Cx=21200	Bx=51062
war manchuria	Cy=58633	By=99187
manchurian war	Cx=13438	Bx=27118
war mandate	Cy=75231	By=350879
maneuver war	Cx=60688	Bx=289368
war maneuver	Cy=60688	By=289368
war maneuvers	Cy=42667	By=192046
manful war	Cx=955	Bx=1852
war mania	Cy=30699	By=163936
war maniacs	Cy=3422	By=12456
manifest war	Cx=222495	Bx=732579
war manifest	Cy=222495	By=732579
war manifestations	Cy=189556	By=819082
war manifested	Cy=135751	By=486839
war manifestly	Cy=39899	By=79663
war manifesto	Cy=65736	By=175693
war manifests	Cy=44661	By=174127
manifold war	Cx=75702	Bx=208176
war manila	Cy=64899	By=205827
war mankind	Cy=391343	By=718762
manly war	Cx=49569	Bx=124339
mann war	Cx=103904	Bx=398869
manned war	Cx=68707	Bx=140170
war manned	Cy=68707	By=140170
manner war	Cx=1590676	Bx=4284782
war manners	Cy=221041	By=469364
war manoeuvre	Cy=16938	By=36711
war manoeuvres	Cy=12980	By=25719
war manpower	Cy=150883	By=473664
war mansion	Cy=77989	By=266172
war mansions	Cy=25423	By=73887
war mantle	Cy=67703	By=206280
mantuan war	Cx=2117	Bx=4210
war manual	Cy=305496	By=1643953
war manuals	Cy=40798	By=240849
war manuel	Cy=102574	By=348458
manufacture war	Cx=259371	Bx=722382
war manufacture	Cy=259371	By=722382
manufactured war	Cx=171411	Bx=646797
war manufactured	Cy=171411	By=646797
war manufacturers	Cy=219811	By=942412
war manufactures	Cy=84406	By=188449
manufacturing war	Cx=386092	Bx=1898864
war manufacturing	Cy=386092	By=1898864
war manuscript	Cy=315127	By=1166569
war manuscripts	Cy=155055	By=495827
many war	Cx=10870436	Bx=38097619
war many	Cy=10870436	By=38097619
manzanar war	Cx=757	Bx=6057
war mao	Cy=114254	By=447541
maori war	Cx=15283	Bx=63593
war map	Cy=457694	By=1879930
war maps	Cy=222872	By=905807
mar war	Cx=380606	Bx=2104083
war mar	Cy=380606	By=2104083
maratha war	Cx=3760	Bx=5715
marauding war	Cx=8482	Bx=23442
marble war	Cx=167791	Bx=473717
march war	Cx=1773927	Bx=6077673
war march	Cy=1773927	By=6077673
war marched	Cy=152573	By=369890
war marches	Cy=42143	By=125382
war marching	Cy=95336	By=253081
marcomannic war	Cx=86	Bx=151
war marcy	Cy=15066	By=51486
war maria	Cy=279286	By=1339965
marine war	Cx=268158	Bx=1280595
war marine	Cy=268158	By=1280595
war marion	Cy=107066	By=502115
mariposa war	Cx=5284	Bx=16614
marital war	Cx=129484	Bx=1025620
maritime war	Cx=109817	Bx=390603
war mark	Cy=794271	By=3249810
marked war	Cx=876385	Bx=2593691
war marked	Cy=876385	By=2593691
war marker	Cy=40679	By=414839
market war	Cx=1321400	Bx=7056112
war market	Cy=1321400	By=7056112
marketing war	Cx=246198	Bx=1577288
war marketing	Cy=246198	By=1577288
war markets	Cy=295637	By=1756641
war marks	Cy=367234	By=1248335
maroon war	Cx=10264	Bx=46325
war marred	Cy=24282	By=72064
marriage war	Cx=1053967	Bx=4754525
war marriage	Cy=1053967	By=4754525
war marriages	Cy=132307	By=617106
married war	Cx=1276951	Bx=6944025
war married	Cy=1276951	By=6944025
mars war	Cx=98365	Bx=319868
war mars	Cy=98365	By=319868
war marshal	Cy=162694	By=340152
war marshall	Cy=263439	By=1054902
marsian war	Cx=189	Bx=349
marsic war	Cx=99	Bx=213
martial war	Cx=84733	Bx=289752
war martial	Cy=84733	By=289752
martian war	Cx=12732	Bx=47935
war martin	Cy=495787	By=2476663
war martyr	Cy=68124	By=136549
war martyrs	Cy=48765	By=123795
marvelous war	Cx=69339	Bx=274583
mary war	Cx=1098362	Bx=5682460
war mary	Cy=1098362	By=5682460
war maryland	Cy=248944	By=959769
masai war	Cx=10461	Bx=22141
masculine war	Cx=86791	Bx=564214
war mask	Cy=149114	By=768036
masked war	Cx=42518	Bx=181763
masking war	Cx=21494	Bx=156752
war masks	Cy=69140	By=312263
mass war	Cx=1796507	Bx=6043738
war mass	Cy=1796507	By=6043738
massachusetts war	Cx=465903	Bx=1648572
war massachusetts	Cy=465903	By=1648572
war massacres	Cy=17152	By=51277
massed war	Cx=25220	Bx=59624
massive war	Cx=237299	Bx=1190838
master war	Cx=1003996	Bx=2989233
war master	Cy=1003996	By=2989233
war masterpiece	Cy=56755	By=159836
war masters	Cy=287263	By=855710
war mat	Cy=90243	By=392437
matabele war	Cx=3993	Bx=4226
war match	Cy=240942	By=1274251
war matched	Cy=123605	By=581633
mate war	Cx=123868	Bx=442773
war mate	Cy=123868	By=442773
material war	Cx=2484248	Bx=8387842
war material	Cy=2484248	By=8387842
war materialized	Cy=15752	By=68551
war materially	Cy=72410	By=142260
war materials	Cy=1520381	By=5869210
war materiel	Cy=17291	By=54759
war materiels	Cy=200	By=1233
war mats	Cy=36102	By=111105
war matter	Cy=2959165	By=8223273
war mattered	Cy=32399	By=147346
war matters	Cy=955223	By=2590278
war matured	Cy=31637	By=100446
mau war	Cx=22330	Bx=59244
war max	Cy=250679	By=1111976
war maxim	Cy=55372	By=156422
maximum war	Cx=972289	Bx=3350842
war maximum	Cy=972289	By=3350842
may war	Cx=20489766	Bx=72987891
war may	Cy=20489766	By=72987891
maya war	Cx=63087	Bx=286297
mayan war	Cx=15865	Bx=72502
maybe war	Cx=390131	Bx=2831022
war maybe	Cy=390131	By=2831022
mayest war	Cx=7703	Bx=11301
war mayor	Cy=273689	By=808659
war mayst	Cy=6166	By=7681
war mccloy	Cy=5122	By=15230
war mccrary	Cy=1510	By=10675
war mchenry	Cy=7465	By=35764
mcssenian war	Cx=5	Bx=7
me war	Cx=10860517	Bx=40679639
war me	Cy=10860517	By=40679639
meager war	Cx=56642	Bx=160394
war meal	Cy=244567	By=1000293
mean war	Cx=2188558	Bx=7888932
war mean	Cy=2188558	By=7888932
meaning war	Cx=1581714	Bx=5618061
war meaning	Cy=1581714	By=5618061
meaningful war	Cx=235355	Bx=1042293
war meaningful	Cy=235355	By=1042293
meaningless war	Cx=110727	Bx=314282
means war	Cx=3840537	Bx=11849469
war means	Cy=3840537	By=11849469
meant war	Cx=868387	Bx=3019637
war meant	Cy=868387	By=3019637
meantime war	Cx=167385	Bx=413538
meanwhile war	Cx=374176	Bx=997276
war meanwhile	Cy=374176	By=997276
war meas	Cy=10119	By=19223
measure war	Cx=1273511	Bx=4298974
war measure	Cy=1273511	By=4298974
war measured	Cy=702896	By=2813737
war measures	Cy=929427	By=3820544
war meat	Cy=404275	By=1412081
mechanical war	Cx=590983	Bx=2148039
war mechanical	Cy=590983	By=2148039
mechanised war	Cx=2695	Bx=6602
war mechanism	Cy=539221	By=2414210
war mechanisms	Cy=289648	By=2039606
mechanized war	Cx=37951	Bx=102407
war med	Cy=358771	By=2281223
war medal	Cy=73131	By=306639
war medals	Cy=28490	By=105960
media war	Cx=359110	Bx=3233426
war media	Cy=359110	By=3233426
mediaeval war	Cx=62600	Bx=70743
median war	Cx=180575	Bx=769189
mediate war	Cx=27561	Bx=165092
medical war	Cx=1366476	Bx=8105288
war medical	Cy=1366476	By=8105288
medicine war	Cx=622567	Bx=3376873
war medicine	Cy=622567	By=3376873
war medicines	Cy=49867	By=213686
medieval war	Cx=296688	Bx=970954
meditate war	Cx=17095	Bx=72946
meditated war	Cx=11781	Bx=26708
meditating war	Cx=13197	Bx=49233
mediterranean war	Cx=189770	Bx=537682
meet war	Cx=1241158	Bx=4414113
war meet	Cy=1241158	By=4414113
meeting war	Cx=1371332	Bx=4881222
war meeting	Cy=1371332	By=4881222
war meetings	Cy=480382	By=1752354
war meets	Cy=154764	By=619596
megarian war	Cx=1885	Bx=2602
megaton war	Cx=5705	Bx=9063
mehr war	Cx=9247	Bx=25141
war mehr	Cy=9247	By=25141
war mein	Cy=23336	By=66042
war meine	Cy=7742	By=22488
melancholy war	Cx=129793	Bx=281049
war melodies	Cy=38419	By=133191
war melodrama	Cy=26435	By=115405
war melodramas	Cy=3901	By=19533
melodramatic war	Cx=17720	Bx=64298
war melted	Cy=74615	By=227335
war mem	Cy=53705	By=246178
member war	Cx=1535844	Bx=5088865
war member	Cy=1535844	By=5088865
members war	Cx=2923788	Bx=10645781
war members	Cy=2923788	By=10645781
war membership	Cy=467962	By=1463613
war mementoes	Cy=2308	By=6009
war mementos	Cy=3722	By=19852
war memo	Cy=66313	By=287379
war memoir	Cy=51791	By=182344
war memoirs	Cy=153634	By=430977
war memorabilia	Cy=5788	By=42893
memorable war	Cx=72255	Bx=238915
war memorable	Cy=72255	By=238915
war memoranda	Cy=30077	By=79755
war memorandum	Cy=148088	By=423098
memorial war	Cx=203198	Bx=804513
war memorial	Cy=203198	By=804513
war memorials	Cy=28155	By=60336
war memories	Cy=182486	By=1009282
war memory	Cy=696526	By=4669324
men war	Cx=7157207	Bx=19011279
war men	Cy=7157207	By=19011279
war menace	Cy=84080	By=179159
menaced war	Cx=15951	Bx=26908
war menaced	Cy=15951	By=26908
war menaces	Cy=7180	By=14151
menacing war	Cx=27397	Bx=86256
war menelaus	Cy=14222	By=26296
mensch war	Cx=7711	Bx=27632
war ment	Cy=125876	By=333171
mental war	Cx=1170758	Bx=5399665
war mental	Cy=1170758	By=5399665
war mentality	Cy=54715	By=212310
mention war	Cx=543618	Bx=1585673
war mention	Cy=543618	By=1585673
mentioned war	Cx=1215212	Bx=3348753
war mentioned	Cy=1215212	By=3348753
mentioning war	Cx=57099	Bx=176821
mentions war	Cx=114753	Bx=339671
war mentions	Cy=114753	By=339671
mercantile war	Cx=51975	Bx=127572
mercenary war	Cx=21256	Bx=57452
war merchant	Cy=287394	By=765719
war merchants	Cy=296139	By=671390
merciful war	Cx=37115	Bx=104111
merciless war	Cx=23693	Bx=56995
mere war	Cx=742417	Bx=1679106
war mere	Cy=742417	By=1679106
merely war	Cx=1473831	Bx=3533981
war merely	Cy=1473831	By=3533981
war merged	Cy=63332	By=232322
war merit	Cy=274259	By=731989
war merited	Cy=18524	By=49628
meritorious war	Cx=20427	Bx=54812
war merits	Cy=175284	By=455954
war merlin	Cy=21899	By=85135
merry war	Cx=114658	Bx=264563
mesopotamian war	Cx=14081	Bx=37575
war mess	Cy=92331	By=407013
war message	Cy=514157	By=3020300
war messages	Cy=152696	By=1223585
messcnian war	Cx=5	Bx=14
war messenger	Cy=129916	By=397738
war messengers	Cy=44512	By=130379
messenian war	Cx=2723	Bx=2204
messiah war	Cx=63183	Bx=240468
messianic war	Cx=37611	Bx=133290
messy war	Cx=9669	Bx=84083
met war	Cx=1204261	Bx=4068787
war met	Cy=1204261	By=4068787
metal war	Cx=763821	Bx=2804907
war metal	Cy=763821	By=2804907
war metallurgy	Cy=32452	By=99547
war metals	Cy=314016	By=909792
war metaphor	Cy=92102	By=674162
metaphorical war	Cx=22301	Bx=136433
war metaphors	Cy=39631	By=292445
metaphysical war	Cx=141549	Bx=415827
war metcalf	Cy=11917	By=60678
war method	Cy=2607559	By=7906919
methodical war	Cx=22063	Bx=65396
methodized war	Cx=567	Bx=864
methods war	Cx=1902706	Bx=6348883
war methods	Cy=1902706	By=6348883
mexican war	Cx=450921	Bx=2338274
war mexican	Cy=450921	By=2338274
mexicanamerican war	Cx=1656	Bx=17303
mexico war	Cx=980946	Bx=3630404
war mexico	Cy=980946	By=3630404
mexiean war	Cx=31	Bx=226
mexikin war	Cx=17	Bx=3
miami war	Cx=88020	Bx=520745
mich war	Cx=125160	Bx=377951
war michael	Cy=277829	By=2777501
michigan war	Cx=446128	Bx=1680080
war michigan	Cy=446128	By=1680080
mid war	Cx=378409	Bx=2189216
war mid	Cy=378409	By=2189216
middle war	Cx=1906353	Bx=6912718
war middle	Cy=1906353	By=6912718
mideast war	Cx=1062	Bx=16785
midianite war	Cx=800	Bx=3860
midnight war	Cx=157206	Bx=546425
might war	Cx=5779520	Bx=19000046
war might	Cy=5779520	By=19000046
mightest war	Cx=1498	Bx=1918
mightiest war	Cx=9317	Bx=17703
war mightily	Cy=17721	By=46361
mighty war	Cx=226785	Bx=494051
war mighty	Cy=226785	By=494051
migrant war	Cx=35516	Bx=220498
war migrants	Cy=53500	By=283534
war migrated	Cy=34729	By=150490
war migration	Cy=198278	By=1080291
war migrations	Cy=32789	By=96137
war mil	Cy=141329	By=320516
milan war	Cx=105033	Bx=334265
milanese war	Cx=8038	Bx=20689
mild war	Cx=264951	Bx=1198988
mile war	Cx=396488	Bx=1160498
war milieu	Cy=75649	By=311716
militant war	Cx=80152	Bx=268710
war militants	Cy=14018	By=72531
war militarily	Cy=20174	By=72276
war militarism	Cy=27504	By=73715
militaristic war	Cx=6726	Bx=24177
military war	Cx=2067084	Bx=6694959
war military	Cy=2067084	By=6694959
militia war	Cx=148664	Bx=388516
war militia	Cy=148664	By=388516
milk war	Cx=569838	Bx=1966540
mill war	Cx=366895	Bx=1162280
war mill	Cy=366895	By=1162280
war miller	Cy=358194	By=1881164
million war	Cx=1248564	Bx=5234026
war millionaire	Cy=25110	By=86065
war millionaires	Cy=16125	By=43107
war millions	Cy=378827	By=1093786
war mills	Cy=264029	By=880802
milwaukee war	Cx=80902	Bx=359566
mimic war	Cx=16188	Bx=136171
war min	Cy=302548	By=1661990
mind war	Cx=2917828	Bx=9102079
war mind	Cy=2917828	By=9102079
minded war	Cx=204330	Bx=527074
war minded	Cy=204330	By=527074
minds war	Cx=477005	Bx=1210272
war minds	Cy=477005	By=1210272
war mindset	Cy=63	By=23769
mine war	Cx=645299	Bx=2054247
war mine	Cy=645299	By=2054247
war mineral	Cy=261784	By=866761
war minerals	Cy=178740	By=582521
mingled war	Cx=67265	Bx=132789
war mingled	Cy=67265	By=132789
mingling war	Cx=27165	Bx=61853
minh war	Cx=42515	Bx=86226
mini war	Cx=12713	Bx=245265
miniature war	Cx=87509	Bx=284967
minimize war	Cx=117983	Bx=785253
minimum war	Cx=762237	Bx=2721739
mining war	Cx=296025	Bx=1091076
war mining	Cy=296025	By=1091076
war minister	Cy=941992	By=2268455
ministerial war	Cx=48371	Bx=129358
war ministers	Cy=387263	By=772434
war ministries	Cy=47901	By=183630
war ministry	Cy=411293	By=1354619
minneapolis war	Cx=90447	Bx=479658
minnesota war	Cx=223883	Bx=910614
minor war	Cx=690307	Bx=2363805
war minority	Cy=359362	By=1718465
war minstrel	Cy=21459	By=65427
war minus	Cy=118834	By=388639
minute war	Cx=608619	Bx=2319397
mir war	Cx=38829	Bx=113789
war mir	Cy=38829	By=113789
war mirrored	Cy=19248	By=114532
misbegotten war	Cx=1898	Bx=8260
miscellaneous war	Cx=147973	Bx=451660
war miscellaneous	Cy=147973	By=451660
war miscellany	Cy=24956	By=47585
mischievous war	Cx=29331	Bx=73212
miserable war	Cx=138782	Bx=374962
misery war	Cx=165161	Bx=411193
war misery	Cy=165161	By=411193
misguided war	Cx=22085	Bx=102201
mismanaged war	Cx=3446	Bx=12339
miss war	Cx=1039268	Bx=2911430
war miss	Cy=1039268	By=2911430
missile war	Cx=141601	Bx=447820
war missile	Cy=141601	By=447820
war missiles	Cy=96972	By=372661
missing war	Cx=212254	Bx=1210528
war missing	Cy=212254	By=1210528
war mission	Cy=631777	By=2211671
war missions	Cy=187956	By=567005
mississippi war	Cx=361883	Bx=1045070
war mississippi	Cy=361883	By=1045070
missouri war	Cx=343569	Bx=1104274
war missouri	Cy=343569	By=1104274
mistaken war	Cx=163045	Bx=461517
war mistakes	Cy=153235	By=578767
misunderstood war	Cx=52431	Bx=176416
war mit	Cy=121529	By=533738
war mitchell	Cy=124017	By=725090
mithradatic war	Cx=227	Bx=140
mithridatic war	Cx=489	Bx=812
mithridatio war	Cx=4	Bx=3
mitigated war	Cx=15632	Bx=59011
war mitigated	Cy=15632	By=59011
mix war	Cx=168090	Bx=1036317
mixed war	Cx=519528	Bx=2072207
war mixed	Cy=519528	By=2072207
mixing war	Cx=149079	Bx=650489
mixton war	Cx=423	Bx=531
war moan	Cy=19269	By=65597
mob war	Cx=139809	Bx=307968
mobile war	Cx=164286	Bx=792311
war mobilisation	Cy=4781	By=16058
war mobilization	Cy=81397	By=366852
war mobilizations	Cy=877	By=7078
mobilized war	Cx=37601	Bx=168756
war mobilized	Cy=37601	By=168756
war mobilizer	Cy=401	By=2070
mock war	Cx=68037	Bx=234576
mode war	Cx=459228	Bx=2665675
war mode	Cy=459228	By=2665675
model war	Cx=1177116	Bx=9526712
war model	Cy=1177116	By=9526712
war models	Cy=428028	By=3688050
modem war	Cx=55346	Bx=461737
moderate war	Cx=348012	Bx=1426020
moderator war	Cx=26988	Bx=80327
modern war	Cx=2193814	Bx=6484157
war modern	Cy=2193814	By=6484157
war modernism	Cy=16571	By=171133
war modernization	Cy=62459	By=353530
modest war	Cx=210659	Bx=807832
war modeste	Cy=1543	By=4481
war modifications	Cy=145901	By=572976
modified war	Cx=371008	Bx=1564170
war modified	Cy=371008	By=1564170
modoc war	Cx=3987	Bx=15058
moglich war	Cx=1054	Bx=2800
mohammedan war	Cx=17894	Bx=18764
mohawk war	Cx=22057	Bx=68558
war mohican	Cy=1043	By=3794
moke war	Cx=1963	Bx=8951
war mold	Cy=114242	By=441139
moment war	Cx=1861509	Bx=5751446
war moment	Cy=1861509	By=5751446
war momentarily	Cy=54242	By=190032
momentous war	Cx=39134	Bx=100117
war momentum	Cy=217431	By=525772
monetary war	Cx=170502	Bx=846836
war monetary	Cy=170502	By=846836
money war	Cx=2355433	Bx=8411637
war money	Cy=2355433	By=8411637
war monger	Cy=3360	By=8094
war mongering	Cy=3039	By=8799
war mongers	Cy=4288	By=8831
mongol war	Cx=36355	Bx=70268
mongolian war	Cx=24404	Bx=56977
war monitor	Cy=60034	By=1167989
war monitors	Cy=14232	By=219866
war monopolized	Cy=13023	By=37370
war monopoly	Cy=207879	By=586895
monotonous war	Cx=49132	Bx=112323
war monroe	Cy=124728	By=441520
monster war	Cx=89044	Bx=371520
war monster	Cy=89044	By=371520
war monsters	Cy=40508	By=156610
monstrous war	Cx=71592	Bx=173409
war monstrous	Cy=71592	By=173409
montenegrin war	Cx=3119	Bx=7811
war montgomery	Cy=126376	By=564681
month war	Cx=899184	Bx=3518161
war month	Cy=899184	By=3518161
monthly war	Cx=316045	Bx=1346971
war monthly	Cy=316045	By=1346971
months war	Cx=1689542	Bx=6736200
war months	Cy=1689542	By=6736200
war monument	Cy=132020	By=388213
monumental war	Cx=64390	Bx=218148
war monuments	Cy=90338	By=249156
war mood	Cy=288771	By=1229931
war moods	Cy=60313	By=202060
moonshine war	Cx=6720	Bx=23922
war moore	Cy=250210	By=1072944
war moored	Cy=12687	By=43565
moorish war	Cx=23351	Bx=51165
moral war	Cx=1304496	Bx=4626707
war moral	Cy=1304496	By=4626707
war morale	Cy=140948	By=371021
war morality	Cy=293332	By=994369
war morally	Cy=92611	By=423467
war moratorium	Cy=11842	By=73143
more war	Cx=22408539	Bx=80823851
war more	Cy=22408539	By=80823851
moreover war	Cx=866472	Bx=2755669
war moreover	Cy=866472	By=2755669
morgan war	Cx=210465	Bx=926532
war morgan	Cy=210465	By=926532
morgen war	Cx=4304	Bx=14086
morisco war	Cx=831	Bx=1978
mormon war	Cx=51922	Bx=191725
morning war	Cx=1420843	Bx=4745229
moro war	Cx=12094	Bx=43529
moroccan war	Cx=21722	Bx=64112
morocco war	Cx=78962	Bx=210077
war morris	Cy=234497	By=938622
mortal war	Cx=147511	Bx=354626
war mortality	Cy=199382	By=1325494
moscow war	Cx=468096	Bx=1198196
war moscow	Cy=468096	By=1198196
moslem war	Cx=81373	Bx=124400
mosquito war	Cx=42827	Bx=125079
most war	Cx=12182529	Bx=46214479
war most	Cy=12182529	By=46214479
mostly war	Cx=384362	Bx=1662037
war mostly	Cy=384362	By=1662037
mother war	Cx=2307312	Bx=10722752
war mother	Cy=2307312	By=10722752
war mothers	Cy=294662	By=2104932
war motif	Cy=60958	By=293051
war motifs	Cy=46789	By=233559
motion war	Cx=1087525	Bx=3192631
war motion	Cy=1087525	By=3192631
motions war	Cx=156475	Bx=421082
motivated war	Cx=128000	Bx=674591
war motivated	Cy=128000	By=674591
war motivation	Cy=284045	By=1249194
war motive	Cy=238118	By=571976
war motives	Cy=289274	By=707704
war motor	Cy=643667	By=2804898
motorized war	Cx=11448	Bx=54730
war motto	Cy=52682	By=156131
war mould	Cy=56493	By=117757
war mouldeth	Cy=32	By=22
mount war	Cx=296830	Bx=1041205
war mount	Cy=296830	By=1041205
mountain war	Cx=662379	Bx=2138264
mountainous war	Cx=43436	Bx=112391
mounted war	Cx=272243	Bx=897827
war mounted	Cy=272243	By=897827
mounting war	Cx=121068	Bx=407573
war mounting	Cy=121068	By=407573
war mounts	Cy=34186	By=115196
mournful war	Cx=26870	Bx=64852
mourning war	Cx=87852	Bx=356776
mouse war	Cx=127567	Bx=985631
mouth war	Cx=827198	Bx=3056247
move war	Cx=1201684	Bx=5648669
war move	Cy=1201684	By=5648669
moved war	Cx=1143066	Bx=4650194
war moved	Cy=1143066	By=4650194
war movement	Cy=1971050	By=7566703
war movements	Cy=663703	By=2516262
war moves	Cy=378170	By=1568817
movie war	Cx=128642	Bx=1188116
war movie	Cy=128642	By=1188116
war movies	Cy=99391	By=727806
moving war	Cx=865521	Bx=3483524
war moving	Cy=865521	By=3483524
war mr	Cy=3838870	By=8633559
mrc war	Cx=3656	Bx=22852
war mrs	Cy=1984184	By=5572301
war mss	Cy=131699	By=303878
much war	Cx=8525363	Bx=27483270
war much	Cy=8525363	By=27483270
muddled war	Cx=12655	Bx=43830
muffled war	Cx=28189	Bx=102412
war muft	Cy=33388	By=63055
multifaceted war	Cx=2806	Bx=68648
multifront war	Cx=36	Bx=344
multiple war	Cx=415420	Bx=3335163
war multiplied	Cy=132160	By=317673
war munich	Cy=129593	By=408666
municipal war	Cx=281842	Bx=900112
war municipal	Cy=281842	By=900112
